#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
-12.96189,1,21.78165
-12.549131,1,21.783707
10.0,20,21.808069
-8.0,6,21.815797
-12.965154,1,21.819538
-2.0,20,21.842653
-11.0,3,21.846515
8.0,20,21.869193
2.0,16,21.888064
1.0,13,21.905463
6.0,20,21.929669
-5.0,9,21.94054
0.0,20,21.965237
-6.758995,13,21.980219
-6.521251,7,21.989358
-12.0,4,21.994888
10.0,20,22.021134
0.0,20,22.044404
4.0,20,22.067018
-9.0,15,22.084987
-10.0,2,22.088874
10.0,20,22.112164
0.0,20,22.137603
-15.0,7,22.146918
0.0,20,22.170719
6.0,20,22.193394
-4.0,20,22.217458
0.0,20,22.243664
-2.0,20,22.267337
-6.0,20,22.290157
0.0,20,22.312617
8.0,20,22.337417
-11.0,1,22.340647
8.0,20,22.363861
-17.0,13,22.379072
-10.0,2,22.382936
-14.0,6,22.391176
8.0,20,22.445767
0.0,20,22.469873
-12.957052,1,22.472892
-4.0,12,22.488118
6.0,20,22.511493
0.0,20,22.536163
-4.0,20,22.559946
8.0,20,22.583842
4.0,20,22.606393
8.0,20,22.628762
14.0,20,22.653297
-8.569876,6,22.661794
2.0,20,22.685762
-10.667588,17,22.704737
8.0,20,22.727872
-2.0,20,22.753668
-12.746102,2,22.757706
-10.684122,5,22.764411
-2.0,20,22.787117
2.0,20,22.811285
-5.0,19,22.833573
2.0,20,22.859369
-4.0,20,22.882594
2.0,20,22.906821
-2.0,20,22.930154
6.0,20,22.955162
-6.0,20,22.9785
-2.0,20,23.001381
0.0,20,23.024597
6.0,20,23.049278
14.0,20,23.073902
2.0,20,23.097095
12.0,20,23.120906
8.0,20,23.143698
2.0,20,23.168364
12.0,20,23.193342
-10.0,2,23.196664
-3.0,9,23.208943
-8.0,18,23.230048
-12.630495,2,23.234831
-12.0,2,23.237715
-4.0,12,23.251912
4.0,20,23.276412
-8.0,20,23.302509
-15.896939,10,23.314896
-6.0,10,23.326886
-5.0,7,23.336669
-2.0,20,23.362002
-2.0,20,23.385791
2.0,20,23.412541
2.0,20,23.439219
12.0,20,23.46693
-12.0,20,23.490425
10.0,20,23.514298
-7.0,7,23.525194
10.0,20,23.54938
12.0,20,23.573536
6.0,20,23.598971
-12.387444,3,23.602851
6.0,20,23.627615
-8.106921,9,23.64034
8.0,20,23.663513
4.0,20,23.688804
-11.0,1,23.692355
-17.0,11,23.706405
4.0,20,23.72945
-13.0,1,23.731499
8.0,20,23.755078
0.0,20,23.777757
6.0,20,23.802476
4.0,20,23.826415
-4.0,20,23.849875
-9.0,3,23.854587
16.0,20,23.877781
12.0,20,23.903437
4.0,20,23.927963
2.0,20,23.950175
10.0,20,23.973702
-1.0,19,23.996682
-6.0,10,24.010656
10.0,20,24.034025
-12.0,4,24.039499
8.0,20,24.062997
-9.0,17,24.08301
6.0,20,24.108175
-20.686274,15,24.126802
4.0,20,24.15056
8.0,20,24.174145
0.0,20,24.19776
10.0,20,24.221753
-6.0,8,24.231906
-7.312432,8,24.243439
-12.838222,1,24.245599
-13.0,1,24.24755
-1.0,15,24.265751
4.0,20,24.289703
4.0,20,24.31451
-11.0,1,24.316846
2.0,20,24.339997
14.0,20,24.365264
12.0,20,24.388466
0.585574,20,24.413052
-10.0,20,24.436021
11.322616,20,24.461024
8.0,20,24.484367
4.0,20,24.508168
-5.0,9,24.521242
-10.0,4,24.527777
-6.0,20,24.550842
-10.506754,3,24.555147
-10.0,2,24.558977
6.0,20,24.582321
-11.0,1,24.584446
-10.0,18,24.605212
-9.0,3,24.609824
-12.0,20,24.633308
8.0,20,24.656085
2.0,20,24.679513
-12.239004,1,24.682473
8.0,20,24.706287
-10.0,8,24.716923
-10.686389,3,24.721249
8.0,20,24.745346
-7.0,11,24.759683
6.0,20,24.782848
8.0,20,24.805859
14.0,20,24.830883
2.0,20,24.855579
6.0,20,24.878141
8.0,20,24.902669
-12.0,20,24.925984
0.0,20,24.950553
6.0,20,24.973445
4.0,20,24.997236
-22.0,8,25.006965
0.0,20,25.032142
-4.0,20,25.055656
-8.0,10,25.068128
-4.0,20,25.091192
12.0,20,25.116896
6.0,20,25.142236
14.0,20,25.165871
4.0,20,25.188736
-10.0,20,25.21247
-11.0,1,25.214503
8.0,20,25.239123
-12.319804,1,25.241578
4.0,20,25.266317
-14.0,20,25.288969
-11.0,1,25.291024
-8.0,20,25.313773
-15.0,1,25.317989
10.0,20,25.344158
-9.214749,4,25.350328
-9.0,3,25.354302
8.0,20,25.378324
12.0,20,25.401358
4.0,20,25.42523
6.0,20,25.450659
-7.0,7,25.461031
-11.0,1,25.463177
-2.0,20,25.48611
-15.0,1,25.488945
10.0,20,25.511885
4.0,20,25.534769
4.0,20,25.560691
10.0,20,25.584322
8.0,20,25.608565
-12.247102,1,25.61073
14.0,20,25.633568
10.0,20,25.658374
-9.0,19,25.682954
4.0,20,25.705989
-14.978885,7,25.713976
8.0,20,25.737915
0.0,20,25.764815
10.0,20,25.78846
-11.0,1,25.791421
-7.0,17,25.811196
-10.0,18,25.832509
8.0,20,25.854635
0.0,20,25.880257
-10.946832,3,25.885551
-8.0,10,25.899116
-9.0,9,25.910549
-5.0,15,25.928505
5.0,19,25.950398
16.0,20,25.9775
-12.771291,1,25.980682
4.0,20,26.004309
-11.0,1,26.006458
14.0,20,26.030105
4.0,20,26.053164
-11.291937,4,26.058422
-1.0,17,26.079278
12.0,20,26.104172
-12.0,10,26.116886
-8.0,4,26.122597
14.0,20,26.145938
6.0,20,26.169854
16.0,20,26.195006
-2.0,20,26.21815
-11.834899,2,26.221188
6.0,20,26.246067
-3.227325,12,26.261109
4.0,20,26.286032
-14.0,20,26.310177
6.0,20,26.334751
12.0,20,26.357964
-10.0,20,26.38237
-5.0,11,26.396658
-8.357558,5,26.404559
-8.0,6,26.413119
-12.0,4,26.418601
0.0,12,26.433221
-12.965762,1,26.435809
0.0,20,26.459826
-7.975779,10,26.473344
8.0,20,26.500794
-8.0,8,26.512097
-8.0,6,26.520298
-12.985272,5,26.527019
2.0,20,26.551752
2.0,20,26.577069
10.0,20,26.604303
10.0,20,26.627789
-10.0,2,26.63168
-2.0,20,26.654714
-11.461502,2,26.657712
-6.0,20,26.680281
-12.871378,5,26.686855
-6.0,20,26.713627
8.0,20,26.737295
-2.0,20,26.759379
12.0,20,26.783002
6.0,20,26.809233
14.0,20,26.83391
-4.0,20,26.856659
-17.0,9,26.86846
10.0,20,26.891833
-7.0,7,26.900988
-11.302351,2,26.905176
0.0,20,26.929196
-2.570131,19,26.952612
6.0,20,26.975893
-12.33835,1,26.978173
6.0,20,27.002461
8.0,20,27.027784
-9.74776,6,27.0354
-9.0,3,27.040067
10.0,20,27.062888
14.0,20,27.087149
-5.0,9,27.097537
-6.0,10,27.111113
0.0,20,27.134551
-5.0,7,27.145291
0.0,20,27.169022
-11.0,1,27.17139
-9.0,3,27.17626
14.0,20,27.199837
-11.0,1,27.202021
-7.724702,10,27.214812
-14.0,2,27.218937
2.0,20,27.243503
-13.44845,2,27.246614
-2.0,20,27.269902
-6.0,20,27.29237
8.0,20,27.316595
2.0,20,27.340383
-9.0,9,27.352279
-6.572952,12,27.366955
12.0,20,27.391026
-10.0,2,27.394024
-11.0,1,27.396239
-10.0,2,27.400194
4.0,20,27.42472
-12.98124,1,27.426788
12.0,20,27.45082
0.0,20,27.474733
-7.0,5,27.482295
-9.0,11,27.495973
8.0,20,27.519389
6.0,20,27.545628
-13.0,1,27.548968
8.0,20,27.572683
0.0,20,27.596861
-12.887777,1,27.599896
-8.343572,5,27.60718
-12.786595,1,27.609378
-11.0,3,27.614189
4.0,20,27.638212
2.0,20,27.66305
0.0,20,27.685633
14.0,20,27.709803
-10.0,14,27.725759
8.0,20,27.750884
10.0,20,27.774746
-12.892219,1,27.777787
6.0,20,27.801651
-12.0,2,27.805803
4.0,20,27.828896
16.0,20,27.852987
-11.0,19,27.876857
10.0,20,27.90087
14.0,20,27.92426
6.0,20,27.948743
2.0,20,27.973108
-4.0,20,27.996601
-4.0,14,28.013557
-6.54123,7,28.023065
-15.0,1,28.025107
12.0,20,28.050093
12.785537,20,28.074571
12.0,20,28.097705
14.0,20,28.120647
-11.0,1,28.124419
-10.0,6,28.131866
-11.0,1,28.134007
10.0,20,28.157757
-1.0,19,28.181568
0.0,20,28.204714
12.0,20,28.228526
16.0,20,28.252509
-12.238884,1,28.255877
-12.734654,1,28.259942
-11.0,1,28.26226
10.0,20,28.288737
6.0,20,28.31495
8.0,20,28.339952
16.0,20,28.366168
-12.0,2,28.369251
10.0,20,28.40572
0.0,20,28.430656
-15.0,1,28.433903
-12.935807,1,28.436052
12.0,20,28.461535
12.0,20,28.486748
1.0,19,28.509583
-16.0,12,28.524288
7.0,19,28.547656
-12.33191,1,28.550696
10.0,20,28.574573
2.0,20,28.600879
14.0,20,28.624469
12.0,20,28.648162
4.0,20,28.672282
12.0,20,28.714706
-9.0,5,28.729324
-12.747733,1,28.73191
-11.0,1,28.734584
2.0,20,28.759693
-10.0,6,28.768699
-4.0,20,28.79392
-2.0,16,28.815086
-11.0,1,28.817298
-15.0,1,28.819955
-8.805312,7,28.829282
12.0,20,28.853534
14.0,20,28.877858
4.0,16,28.900747
-11.592405,3,28.906143
-11.282571,2,28.909429
0.0,20,28.932314
-9.0,5,28.940882
10.0,20,28.965292
8.0,20,28.989236
-8.311024,5,28.996946
8.0,20,29.056174
4.0,20,29.080371
-10.0,2,29.083531
-4.0,8,29.0952
2.0,20,29.12198
6.0,20,29.145108
10.0,20,29.168843
7.0,19,29.191386
-3.0,11,29.207664
-14.0,2,29.211106
8.0,20,29.236676
-4.0,20,29.260069
-12.0,2,29.264582
4.0,20,29.28787
16.0,20,29.31317
14.0,20,29.337593
-11.530435,2,29.342098
-1.0,13,29.358984
-9.0,3,29.363169
8.0,20,29.386449
-11.887174,3,29.391865
-4.0,20,29.416556
-12.739078,1,29.418912
-12.689219,1,29.422418
-9.0,3,29.427224
0.0,20,29.450654
-9.0,7,29.459709
14.0,20,29.482483
-9.350891,4,29.489083
6.0,20,29.513239
4.0,20,29.538786
12.0,20,29.562842
14.0,20,29.588321
-7.0,9,29.599192
-14.0,2,29.602894
-10.0,4,29.608325
-9.212958,4,29.615536
16.0,20,29.640479
-13.0,1,29.642648
-11.0,1,29.644822
-3.849496,14,29.663831
12.0,20,29.687779
-5.0,7,29.696844
8.0,20,29.719931
-5.0,7,29.732041
-9.552983,4,29.738757
6.0,20,29.7638
8.0,20,29.78857
-10.0,10,29.802892
14.0,20,29.827669
-4.0,14,29.845045
1.0,15,29.864343
8.0,20,29.889113
1.786441,15,29.907485
10.0,20,29.931172
2.0,16,29.951232
-5.0,7,29.961194
14.0,20,29.984724
-7.0,5,29.99143
-7.0,13,30.007464
-4.0,20,30.031319
-4.0,12,30.047542
-10.482316,4,30.053623
8.0,20,30.075995
0.0,20,30.100321
-5.0,7,30.11009
2.0,20,30.132889
10.0,20,30.157619
4.0,20,30.181909
4.0,20,30.205424
12.0,20,30.229443
-2.327587,11,30.243763
12.0,20,30.268679
-10.0,2,30.271987
-10.371043,7,30.280927
-12.979476,1,30.283052
-10.0,2,30.287412
-4.0,10,30.299087
2.0,20,30.322698
12.0,20,30.347128
-4.0,18,30.370129
18.0,20,30.393656
8.0,20,30.417338
14.0,20,30.441481
-10.0,2,30.445631
-7.0,17,30.466977
-8.0,16,30.485583
16.0,20,30.509036
1.0,13,30.526331
-12.787342,1,30.528413
16.0,20,30.551542
-13.919045,4,30.557855
-7.0,17,30.57948
-11.979571,2,30.58341
6.0,20,30.606748
-5.0,9,30.618131
2.0,20,30.641624
-2.0,10,30.653265
-8.235965,7,30.662692
6.0,20,30.687143
-10.813419,3,30.692984
-11.0,1,30.695084
6.0,20,30.720011
10.0,20,30.743669
1.0,13,30.761272
-0.72593,17,30.783238
-2.217353,11,30.795782
4.0,20,30.819479
2.0,20,30.843899
-10.0,2,30.847753
-4.0,10,30.859703
10.0,20,30.885616
10.0,20,30.910173
-8.0,6,30.918421
8.0,20,30.942232
-1.0,13,30.95717
12.0,20,30.984319
6.505348,20,31.007819
18.0,20,31.031116
1.077688,19,31.05616
6.0,20,31.081546
14.0,20,31.106367
-15.0,1,31.108424
16.0,20,31.131809
-9.0,3,31.1376
-4.0,16,31.156703
12.0,20,31.181212
-12.739362,1,31.183445
-8.0,4,31.19034
6.0,20,31.214053
6.0,20,31.237302
-10.0,6,31.245795
6.0,20,31.271648
16.0,20,31.297397
16.0,20,31.321223
6.0,20,31.34413
-10.888278,3,31.34967
-9.0,3,31.354508
10.0,20,31.37757
14.0,20,31.403255
-8.0,6,31.412814
16.0,20,31.437534
20.0,20,31.46068
-3.0,19,31.481829
20.0,20,31.509524
8.0,20,31.53319
0.0,16,31.551956
-11.941099,2,31.555792
-9.0,11,31.570357
12.0,20,31.595501
-2.830819,13,31.611922
-9.0,3,31.616883
-12.447899,1,31.619872
16.0,20,31.642891
10.0,20,31.666006
8.0,20,31.688966
12.0,20,31.715971
16.0,20,31.739943
6.0,20,31.76365
18.0,20,31.787896
12.0,20,31.814844
8.0,20,31.838602
4.0,20,31.861225
-9.268363,6,31.86865
14.649599,20,31.893153
4.0,20,31.918467
-13.0,3,31.923142
2.0,14,31.941186
10.0,20,31.965869
-10.0,4,31.971442
10.0,20,31.994473
6.64783,20,32.020242
-12.986779,3,32.025527
-6.0,20,32.048984
-8.0,10,32.061789
16.0,20,32.085497
8.0,20,32.111337
12.0,20,32.136348
-13.0,3,32.141281
2.0,20,32.165012
10.0,20,32.18911
12.0,20,32.214257
-11.0,5,32.220863
-11.0,1,32.223351
-7.0,5,32.231348
-10.379723,3,32.236294
16.0,20,32.259867
-10.908054,7,32.268614
8.0,20,32.292287
-5.0,7,32.301051
-9.0,3,32.304717
-11.316859,2,32.30853
-15.839,2,32.312307
-12.703026,1,32.315451
12.0,20,32.341267
12.0,20,32.364731
12.0,20,32.389048
18.0,20,32.412054
20.0,20,32.436481
12.0,20,32.461164
20.0,20,32.486142
20.0,20,32.509672
-13.0,1,32.51193
10.0,20,32.537039
14.0,20,32.562789
-4.0,10,32.574668
-7.0,5,32.5822
12.0,20,32.605531
10.0,20,32.629777
14.0,20,32.655366
-14.415244,3,32.659543
10.0,20,32.68349
-11.0,1,32.687652
0.0,16,32.706256
-11.0,1,32.708535
-12.28998,1,32.710713
-9.0,3,32.715923
-10.0,2,32.719068
14.0,20,32.743557
10.0,20,32.767613
1.0,17,32.789648
-2.634175,11,32.802892
-11.0,1,32.805904
10.0,20,32.829281
-2.0,10,32.842868
12.0,20,32.868459
16.0,20,32.891602
-7.0,5,32.901106
2.0,14,32.918775
5.0,19,32.942391
0.786605,20,32.967121
-3.0,9,32.978316
8.0,20,33.002011
10.0,20,33.025251
16.0,20,33.049454
-3.840026,13,33.065891
6.0,20,33.09142
5.0,19,33.113006
17.164617,20,33.136747
-10.0,2,33.139677
-12.440075,3,33.144662
14.0,20,33.170377
12.0,20,33.196795
-6.0,6,33.205725
0.0,20,33.231861
-7.663818,6,33.239715
18.0,20,33.265893
-2.0,12,33.280836
14.0,20,33.306571
18.0,20,33.330732
10.0,20,33.354396
-11.0,1,33.356629
16.0,20,33.381892
2.0,20,33.405543
18.0,20,33.428865
14.0,20,33.452425
12.0,20,33.47779
-11.0,3,33.482693
12.0,20,33.50655
-6.0,10,33.519425
12.0,20,33.543524
20.0,20,33.56741
16.0,20,33.592886
12.0,20,33.615946
-12.899571,1,33.619215
16.0,20,33.642423
-1.0,17,33.661887
4.0,20,33.687195
7.0,19,33.713112
-6.0,6,33.720919
18.0,20,33.744403
-12.972276,1,33.747368
20.0,20,33.772065
-3.314686,10,33.785503
16.0,20,33.810039
12.0,20,33.833747
-10.0,6,33.84295
-12.90861,1,33.844945
-10.0,8,33.854484
14.0,20,33.878242
3.0,15,33.898604
12.0,20,33.923466
-2.0,12,33.938752
16.0,20,33.962188
16.0,20,33.985632
16.0,20,34.011518
3.0,15,34.028858
12.0,20,34.052308
20.0,20,34.077711
-11.0,1,34.080806
-7.350401,6,34.088321
1.0,19,34.112736
14.0,20,34.137383
12.0,20,34.161132
12.0,20,34.184208
18.0,20,34.208055
16.0,20,34.234004
12.0,20,34.257602
-11.0,1,34.259856
12.0,20,34.283327
14.0,20,34.308952
18.0,20,34.333799
12.0,20,34.357515
-8.0,4,34.363357
16.0,20,34.387864
-9.0,3,34.392814
-12.97935,1,34.395041
-0.224036,15,34.414702
10.0,20,34.440067
-7.0,5,34.447005
10.0,20,34.4707
14.0,20,34.49411
-8.0,4,34.500499
12.0,20,34.525049
10.0,20,34.549614
14.0,20,34.572588
-10.0,2,34.577378
20.0,20,34.600667
-15.0,5,34.606833
12.0,20,34.631358
10.0,20,34.65695
14.0,20,34.680201
-12.798172,1,34.68238
-11.0,1,34.684564
12.0,20,34.708812
-10.0,2,34.712675
-2.360412,15,34.732888
14.0,20,34.756966
-12.868404,1,34.76025
1.500278,20,34.78368
-10.0,8,34.793767
-12.0,10,34.805614
-13.0,3,34.81074
-11.0,1,34.812811
16.0,20,34.837612
18.0,20,34.861543
-2.0,14,34.880132
16.0,20,34.903503
-7.0,9,34.914139
14.0,20,34.938666
12.0,20,34.964154
-1.0,19,34.987878
-7.0,9,34.999003
-7.0,7,35.00862
-12.461878,1,35.011962
-11.437606,2,35.015745
16.0,20,35.041275
10.0,20,35.064971
5.0,19,35.087726
20.0,20,35.111072
14.0,20,35.135114
0.0,16,35.155021
-11.0,3,35.161288
-8.0,4,35.166921
1.0,19,35.189369
20.0,20,35.212657
-11.0,7,35.222485
16.0,20,35.247489
12.0,20,35.272411
14.0,20,35.29663
14.0,20,35.32134
14.0,20,35.346323
16.0,20,35.371199
16.0,20,35.39461
16.0,20,35.41909
-10.0,2,35.421962
16.0,20,35.446549
-2.0,10,35.460358
0.0,12,35.476688
-5.0,9,35.487924
-4.0,12,35.5022
-10.0,2,35.50527
18.0,20,35.528773
12.0,20,35.553725
14.0,20,35.578433
16.0,20,35.602443
-7.0,5,35.611147
-4.0,8,35.621262
10.0,20,35.645221
-12.0,2,35.648034
16.0,20,35.673884
12.0,20,35.69746
0.063166,18,35.719045
16.0,20,35.742381
-13.0,7,35.751297
-7.0,5,35.758427
16.0,20,35.783646
12.0,20,35.807188
-4.0,8,35.818584
18.0,20,35.841967
-12.967656,1,35.843968
-6.0,6,35.85144
16.0,20,35.87722
16.0,20,35.933949
16.0,20,35.957871
-4.0,8,35.968167
16.0,20,35.995224
-4.835684,9,36.007468
-12.329261,1,36.009665
-5.888999,8,36.020453
16.0,20,36.046639
-10.897267,3,36.051195
-3.84771,16,36.070593
-3.0,9,36.082717
16.0,20,36.107894
-9.0,3,36.112957
16.0,20,36.136685
-12.972671,1,36.138866
16.0,20,36.163387
-11.950655,2,36.166371
-3.0,15,36.185837
-5.547175,8,36.197117
16.0,20,36.222031
16.0,20,36.245948
16.0,20,36.271329
-5.0,7,36.280733
14.0,20,36.307989
12.0,20,36.331366
-12.25022,1,36.333523
16.0,20,36.357424
-10.849017,3,36.363607
16.0,20,36.387397
12.0,20,36.411883
16.0,20,36.435859
-4.827976,13,36.452326
-9.0,3,36.457119
16.0,20,36.481133
-6.0,6,36.488391
16.0,20,36.513842
12.0,20,36.537462
14.0,20,36.560815
16.0,20,36.584159
-7.0,5,36.59242
-11.0,1,36.594719
14.0,20,36.619838
16.0,20,36.642588
20.0,20,36.66672
16.0,20,36.69012
-12.982246,1,36.692186
-9.0,3,36.696928
-4.0,10,36.711234
16.0,20,36.737398
16.0,20,36.761002
20.0,20,36.784414
16.0,20,36.809871
-10.0,6,36.818965
-2.819039,12,36.833932
16.0,20,36.858066
16.0,20,36.882582
-6.0,6,36.890379
4.0,20,36.914701
16.0,20,36.939379
0.0,12,36.95506
20.0,20,36.978341
4.0,18,36.999619
-5.173777,10,37.011726
-9.0,3,37.018967
16.0,20,37.04344
10.635764,20,37.066609
14.0,20,37.090256
-11.0,1,37.093731
0.0,12,37.109071
-6.0,6,37.119374
14.0,20,37.143675
-8.0,4,37.149765
-11.0,1,37.151891
-2.0,14,37.168753
-12.739362,1,37.170895
14.0,20,37.194537
16.0,20,37.217646
-5.622582,8,37.229274
18.0,20,37.254219
12.0,20,37.278289
14.0,20,37.301575
-7.0,5,37.308251
12.0,20,37.334365
12.0,20,37.360184
16.0,20,37.383476
20.0,20,37.407051
16.0,20,37.431855
-4.905469,9,37.444964
-2.0,20,37.468832
-7.925292,14,37.485683
14.637749,20,37.508888
16.0,20,37.534294
14.0,20,37.558801
20.0,20,37.582674
14.0,20,37.606468
20.0,20,37.630677
20.0,20,37.656148
16.0,20,37.680778
16.0,20,37.704993
16.0,20,37.72913
-7.0,7,37.738478
-11.0,1,37.74053
3.0,19,37.76559
16.0,20,37.790159
-4.924698,10,37.801594
-8.0,6,37.810066
16.0,20,37.832873
16.0,20,37.859328
5.0,17,37.880175
16.0,20,37.903032
16.0,20,37.927023
-13.0,5,37.93509
-8.0,4,37.940765
10.0,20,37.966346
12.0,20,37.991098
20.0,20,38.015785
8.0,20,38.039018
-15.0,1,38.041212
12.0,20,38.066776
-1.0,15,38.086905
-1.0,11,38.100651
16.0,20,38.124286
18.0,20,38.148392
20.0,20,38.176732
-7.0,5,38.183861
7.0,19,38.206911
16.0,20,38.230931
16.0,20,38.255418
14.0,20,38.280954
16.0,20,38.305542
10.0,20,38.328787
16.0,20,38.353367
10.0,20,38.377881
20.0,20,38.402834
20.0,20,38.42638
16.0,20,38.450984
-1.0,15,38.468097
18.0,20,38.493815
-3.0,9,38.505289
20.0,20,38.529756
20.0,20,38.552924
16.0,20,38.57738
-12.753137,1,38.579669
16.0,20,38.60643
20.0,20,38.630155
0.0,12,38.644852
16.0,20,38.668754
16.0,20,38.696035
16.0,20,38.720716
2.0,16,38.739882
16.0,20,38.762842
-12.974167,1,38.766177
-4.0,8,38.775707
16.0,20,38.801498
16.0,20,38.825454
-12.754513,1,38.829549
14.0,20,38.852671
20.0,20,38.875149
16.0,20,38.900863
20.0,20,38.925856
1.0,13,38.941453
16.0,20,38.964828
16.0,20,38.988677
-4.0,8,39.00115
20.0,20,39.026093
-10.0,4,39.032138
-8.0,4,39.038006
-6.330772,7,39.048024
16.0,20,39.07105
16.0,20,39.094619
16.0,20,39.120776
-2.0,16,39.140826
12.0,20,39.164109
18.0,20,39.187245
16.0,20,39.21224
0.0,14,39.232843
14.0,20,39.256851
16.0,20,39.280787
20.0,20,39.304391
-12.915442,1,39.309032
12.0,20,39.333852
-8.0,4,39.339603
16.0,20,39.363329
0.0,12,39.378626
14.0,20,39.401129
12.0,20,39.425419
20.0,20,39.449445
-4.0,12,39.465079
16.0,20,39.488358
16.0,20,39.512071
14.0,20,39.537573
-4.0,8,39.549356
16.0,20,39.573408
2.0,14,39.590746
12.0,20,39.614487
12.0,20,39.641457
-3.441565,12,39.655688
16.0,20,39.678607
14.0,20,39.701797
16.0,20,39.726431
-12.956781,1,39.728624
16.0,20,39.753465
-11.0,5,39.760109
14.0,20,39.784502
16.0,20,39.807977
8.0,20,39.832254
-13.0,3,39.837739
-9.0,3,39.844221
16.0,20,39.86857
16.0,20,39.891586
12.0,20,39.914513
18.0,20,39.940636
18.0,20,39.964747
16.0,20,39.988311
-7.726667,6,39.99599
-8.0,4,40.003182
12.0,20,40.026275
-5.0,7,40.035273
16.0,20,40.06141
8.0,20,40.086574
16.0,20,40.110408
12.0,20,40.133817
20.0,20,40.159602
16.0,20,40.184613
16.0,20,40.207564
-5.0,7,40.216878
-2.0,16,40.23616
8.0,20,40.262739
-4.0,8,40.273138
20.0,20,40.297931
-12.583643,1,40.300251
20.0,20,40.325287
16.0,20,40.348423
20.0,20,40.375093
16.0,20,40.398865
-8.0,4,40.405727
12.0,20,40.428998
16.0,20,40.45255
-6.358478,7,40.462868
16.0,20,40.488989
-12.210088,1,40.491257
16.0,20,40.514605
-4.22778,9,40.525919
20.0,20,40.550458
0.0,12,40.566991
-12.790984,1,40.570223
-14.0,2,40.57313
-9.0,3,40.579181
-12.979935,1,40.581241
14.0,20,40.604716
-11.243315,2,40.608656
7.0,19,40.63102
20.0,20,40.65445
-12.398878,1,40.657411
16.0,20,40.683965
14.644157,20,40.708556
20.0,20,40.732547
20.0,20,40.755968
20.0,20,40.781132
16.0,20,40.806994
12.0,20,40.830958
16.0,20,40.853793
16.0,20,40.878181
20.0,20,40.904353
12.0,20,40.927867
8.0,20,40.950661
5.709067,19,40.972176
14.0,20,40.99867
6.0,18,41.020242
-8.0,4,41.025882
6.0,20,41.049857
-11.0,1,41.052898
14.0,20,41.07621
16.0,20,41.102015
16.0,20,41.125775
-12.0,2,41.130984
14.0,20,41.155025
20.0,20,41.17787
5.0,17,41.199992
-7.0,5,41.207628
4.0,16,41.226577
16.0,20,41.250732
7.0,19,41.275256
10.0,20,41.302359
14.0,20,41.326726
-6.0,6,41.334252
20.0,20,41.359227
14.0,20,41.384108
-13.877344,4,41.391142
-11.294536,2,41.395049
-7.292848,6,41.403448
-7.976331,6,41.412738
-2.0,14,41.42952
16.0,20,41.453791
-10.0,2,41.457675
20.0,20,41.4823
-12.679659,1,41.484507
-11.812518,2,41.488449
12.0,20,41.514062
10.0,20,41.539693
20.0,20,41.562878
-4.37014,11,41.575307
-12.767522,1,41.578339
14.0,20,41.603572
-8.0,4,41.610059
12.0,20,41.634371
-4.0,8,41.644903
3.0,15,41.663629
20.0,20,41.687423
-5.0,7,41.696595
14.0,20,41.722205
16.0,20,41.747154
-3.0,9,41.758283
20.0,20,41.781485
5.0,17,41.803544
-4.0,8,41.815328
16.0,20,41.839446
-7.0,5,41.846046
-11.0,1,41.848131
18.0,20,41.872549
16.0,20,41.896353
18.0,20,41.921669
-4.702363,9,41.933399
12.0,20,41.958416
-9.0,3,41.963362
-10.0,2,41.96727
-10.0,6,41.975188
20.0,20,41.998795
14.0,20,42.024114
12.0,20,42.048369
14.0,20,42.072615
12.0,20,42.09726
16.0,20,42.121336
16.0,20,42.145629
18.0,20,42.16907
16.0,20,42.193491
-4.896015,10,42.206096
16.0,20,42.231208
13.183034,20,42.25607
16.0,20,42.281454
1.0,15,42.298872
-3.0,15,42.317762
-5.0,7,42.328366
14.0,20,42.353812
-3.0,9,42.365115
16.0,20,42.38875
14.0,20,42.4486
-5.0,7,42.459529
14.0,20,42.482874
12.0,20,42.506624
16.0,20,42.530033
-4.0,8,42.542733
-8.0,4,42.549127
-1.0,11,42.563893
-9.522793,10,42.576466
16.0,20,42.601056
20.0,20,42.625263
-3.0,9,42.636889
-9.0,3,42.642188
20.0,20,42.668529
3.0,15,42.687505
-10.0,2,42.690636
-0.905469,13,42.706777
-8.0,10,42.720145
18.0,20,42.745463
1.0,13,42.762165
20.0,20,42.786512
16.0,20,42.811133
-5.740543,8,42.821351
-10.640621,3,42.8262
20.0,20,42.851342
16.0,20,42.875935
20.0,20,42.900263
18.0,20,42.923334
17.075534,20,42.947527
-2.0,16,42.96903
-3.0,11,42.982876
2.0,16,43.001643
7.0,19,43.024377
16.0,20,43.048291
18.0,20,43.073885
1.418492,17,43.094848
-3.482464,10,43.107129
16.0,20,43.132682
-13.313575,2,43.136505
0.0,18,43.158654
2.0,16,43.178338
12.0,20,43.202919
-7.0,5,43.210639
-6.48502,7,43.21891
16.0,20,43.242689
16.0,20,43.26865
-6.0,8,43.279271
20.0,20,43.303009
14.0,20,43.327566
-1.0,17,43.349215
1.0,13,43.365925
-12.991235,1,43.367981
18.0,20,43.392688
16.0,20,43.416963
18.0,20,43.440154
16.0,20,43.463532
4.0,16,43.486108
20.0,20,43.510799
8.0,20,43.534336
12.0,20,43.557884
-5.0,7,43.567419
16.0,20,43.594257
16.0,20,43.617957
-9.0,7,43.627256
