#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
-12.724069,1,5.395117
-10.0,20,5.418307
-22.0,20,5.440599
-22.0,20,5.46232
-19.0,5,5.469125
-13.0,1,5.472056
-23.0,9,5.483688
-18.0,20,5.50682
-16.0,20,5.529378
-16.0,20,5.552351
-8.0,20,5.574673
0.0,20,5.598038
-14.0,20,5.620288
-14.0,20,5.643568
-22.0,20,5.665043
-14.0,20,5.687651
-16.0,12,5.702258
-10.0,20,5.725537
-30.0,10,5.73758
-10.0,20,5.759625
-14.0,2,5.76235
-14.0,20,5.786046
-12.0,20,5.810313
-18.0,20,5.833405
-8.0,20,5.855617
-2.0,20,5.879525
-16.0,16,5.897425
-26.0,20,5.92154
-25.901982,10,5.933342
-22.0,20,5.956781
-10.0,20,5.978847
-32.0,14,5.994091
-14.83678,5,6.001356
-16.0,20,6.025764
-12.0,20,6.048182
-10.0,20,6.070748
2.0,20,6.093297
-11.0,3,6.098862
-18.0,20,6.122614
-18.0,20,6.14592
-8.0,20,6.168214
-32.0,18,6.189009
-24.26133,9,6.199341
-12.0,4,6.204921
-12.0,4,6.211235
-4.0,20,6.236391
-10.0,20,6.260427
-23.0,9,6.271111
-18.0,20,6.294383
-10.0,20,6.319482
-13.0,1,6.321892
-16.0,20,6.345633
-10.0,2,6.349411
-8.0,20,6.373865
-16.0,20,6.395925
-10.0,20,6.418433
-6.0,20,6.442422
-12.0,6,6.450947
-4.0,20,6.474438
-22.0,16,6.492963
-14.0,20,6.515207
-14.0,20,6.539998
-24.0,12,6.55381
-15.0,1,6.556642
-16.0,20,6.579381
-16.0,20,6.60239
-6.0,14,6.617372
-16.0,20,6.641623
-11.0,1,6.643778
-24.0,20,6.666834
-24.0,20,6.689007
-14.0,20,6.711251
-18.0,20,6.735148
-15.0,1,6.739231
-16.0,20,6.763392
-14.0,20,6.785248
-29.0,15,6.802063
-8.0,20,6.825311
-10.0,20,6.849521
-14.0,20,6.871955
-10.0,20,6.894746
-15.0,1,6.898552
-21.0,5,6.904838
-22.0,20,6.927177
-26.0,20,6.951453
-12.959553,1,6.95476
-14.0,4,6.96048
-19.0,3,6.965029
-12.0,20,6.98712
-10.0,20,7.009624
-24.0,20,7.03155
-4.0,20,7.05591
-12.0,20,7.078924
-12.0,20,7.102476
-9.0,3,7.107197
-12.0,20,7.129542
-12.974286,1,7.131567
-16.0,20,7.156535
-8.0,20,7.180386
-19.0,5,7.186529
-10.0,20,7.208804
-24.0,20,7.2331
-27.0,9,7.243736
-6.0,10,7.25731
-12.0,20,7.280178
-18.0,20,7.303897
-8.0,20,7.327014
-20.0,10,7.338363
-11.0,1,7.341939
-4.0,20,7.367818
-37.0,19,7.388562
-10.0,4,7.394119
-10.0,20,7.416857
-13.0,1,7.420901
-8.0,20,7.444021
-12.0,20,7.46749
-22.0,18,7.488367
-16.0,20,7.511332
-16.0,20,7.533307
-38.0,18,7.553472
-14.0,10,7.56502
-2.0,20,7.590931
-16.590089,5,7.597504
-8.0,20,7.619917
-12.973983,1,7.623221
-10.0,20,7.646833
-10.0,20,7.668306
-20.0,16,7.688503
-19.0,7,7.696856
-29.0,11,7.710917
-18.0,20,7.733172
-19.0,11,7.746306
-4.0,20,7.76777
-8.0,4,7.774467
-12.0,2,7.778381
-6.0,20,7.802592
-24.0,20,7.825252
-19.0,7,7.83559
-19.0,11,7.849181
-12.0,4,7.854767
-11.0,3,7.859326
-12.284774,1,7.862072
-8.0,20,7.884741
-14.0,20,7.90676
-24.0,14,7.922544
-16.0,20,7.946399
-10.0,20,7.968578
-6.0,20,7.992157
-13.0,5,7.999481
-12.0,20,8.023547
-10.0,20,8.046499
-8.0,20,8.069227
-14.0,2,8.071894
-6.0,6,8.080298
6.0,20,8.104598
-12.0,20,8.127789
-10.0,20,8.150604
-14.0,20,8.173724
-6.0,20,8.196797
-29.0,19,8.219142
-13.0,1,8.222253
-24.0,20,8.245282
-12.0,20,8.26824
-4.0,20,8.289947
-16.0,20,8.313911
-14.0,20,8.337708
-6.0,20,8.359915
-28.0,20,8.381836
-23.0,17,8.400422
-31.0,19,8.426238
-10.0,20,8.449094
-6.0,20,8.471786
-16.0,20,8.494185
-4.0,20,8.518684
-13.049818,2,8.521851
-13.0,3,8.526917
-12.0,20,8.54974
-6.0,20,8.573522
-16.0,20,8.595207
-10.0,20,8.620114
-4.0,20,8.642972
-15.827088,2,8.646614
-12.409861,1,8.649524
-23.786574,20,8.671326
10.0,20,8.694753
-24.0,6,8.702438
-18.0,20,8.726458
-10.0,12,8.740576
0.0,20,8.763512
-6.0,20,8.787008
-12.0,20,8.810051
0.0,20,8.83425
-22.0,12,8.848056
-10.0,20,8.87073
-21.0,17,8.889722
10.0,20,8.941333
-13.0,1,8.949106
-8.0,20,8.973863
-2.0,20,8.997061
-10.0,20,9.020301
-21.948092,12,9.034875
-18.0,20,9.059958
-11.0,3,9.063909
-11.667279,5,9.071104
-8.0,20,9.093731
-28.0,20,9.117276
-12.541928,1,9.119454
-14.0,20,9.142313
-15.0,5,9.14935
-9.0,7,9.159423
-16.0,20,9.18156
6.0,20,9.204134
-2.0,20,9.226317
-14.0,20,9.250857
-8.0,20,9.274101
8.0,20,9.296808
-10.0,20,9.318554
-10.0,20,9.341952
6.0,20,9.366097
-11.0,3,9.371153
-21.0,19,9.392498
-15.0,1,9.396447
-10.0,20,9.4195
-6.0,20,9.441611
-13.0,1,9.4436
-16.0,20,9.468126
-8.0,20,9.492551
-16.0,20,9.515627
-6.0,20,9.538275
-4.0,20,9.562346
-10.0,20,9.587505
-10.595822,6,9.59461
-8.0,20,9.61635
-19.0,11,9.630294
-2.0,20,9.652158
-6.0,20,9.675936
-20.0,20,9.700307
-10.0,2,9.705125
-16.0,20,9.727471
-8.0,20,9.750068
-12.821701,1,9.752386
-11.0,1,9.755173
-14.0,20,9.777669
-6.0,20,9.801934
0.0,20,9.82444
-26.0,20,9.846928
-12.0,4,9.852294
-11.0,19,9.873328
-20.0,20,9.896611
-2.0,20,9.920169
-10.0,20,9.942287
-8.0,8,9.952223
-22.0,4,9.957564
-20.0,6,9.965587
-14.0,20,9.989444
-12.986936,1,9.992505
-18.0,6,10.000079
-8.0,20,10.024102
-13.0,1,10.026234
-12.0,20,10.04823
-16.0,20,10.071765
-18.0,20,10.095979
-6.0,20,10.119488
-21.0,17,10.140089
-18.0,20,10.162655
-20.0,18,10.183555
-27.697865,16,10.202091
-10.0,20,10.225579
-11.0,5,10.231572
-10.0,2,10.236355
-15.0,1,10.238213
-22.0,20,10.259981
-14.0,20,10.281825
-4.0,20,10.306996
-24.0,20,10.330545
0.0,20,10.352589
-6.0,20,10.375053
-6.0,20,10.3981
-16.0,20,10.422699
-18.0,20,10.444507
-9.0,3,10.449377
-8.0,20,10.47333
-16.899945,7,10.482057
